#,Part Name,Category,Description,Qty,UOM,Manufacturer,MFG PN,Vendor,Vendor PN,Source,Notes
1,Tri-lobe screw,FST,Thread-forming tri-lobe screw for RADR enclosure assembly,5,each,–,–,Shorpioen,BC-0408LTFB,–,–
2,Screen,ASM,"IPS 2.0 inch 14-pin SPI LCD display, ST7789, 240 x 320 RGB",1,each,–,–,Aliexpress,ST7789/Screen No Touch,–,–
3,Battery,BTY,"3.7 V 800 mAh LiPo battery, 802735 format",1,each,–,–,Aliexpress,802735,–,–
4,RADR PCB assembly,PCA,RADR PCB v0.4 populated circuit-board assembly,1,each,–,RADR-PCB-V0.4,JLCPCB,–,pcb/RADR - PCB Design Files v0.4/PCB - OSSM Wireless v0.4.pcbdoc,Top-level PCB assembly line item; detailed PCB EBOM remains in pcb/RADR BOM - OSSM Wireless - v0.4 - S3.xlsx.
5,Front housing,FDM,FDM-printed RADR front/top housing,1,each,–,–,–,–,Print Files/Remote - Top V1.01.step,–
6,Back housing,FDM,FDM-printed RADR back/bottom housing,1,each,–,–,–,–,Print Files/Remote - Bottom.step,–
7,Battery flap,FDM,FDM-printed battery flap,1,each,–,–,–,–,Print Files/Remote - Bottom.step,–
8,Side button,FDM,FDM-printed side button,2,each,–,–,–,–,Print Files/Buttons.step,–
9,Middle button,FDM,FDM-printed middle button,1,each,–,–,–,–,Print Files/Buttons.step,–
10,Power slider button,FDM,FDM-printed power slider button,1,each,–,–,–,–,Print Files/Power Switch.step,–
11,Knob,FDM,FDM-printed rotary knob,2,each,–,–,–,–,Print Files/Remote - Knob.step,–
12,Resealable bag,PKG,"6 x 8 inch, 1.5 mil resealable bag",1,each,–,–,ULINE,S-5065,–,–
13,USB A to C cable,CBL,25 cm USB-A to USB-C power cable,1,each,–,–,Aliexpress,0.25m,–,–
14,Weather stripping,INS,"1 x 1/8 inch weather stripping, cut from 33 ft roll",0.5,in,–,–,Amazon,"1x1/8""",–,–
